constituency_no,constituency,constituency_type,name,party,alliance,gender,age,position,vote_share_percentage,margin_percentage,margin,valid_votes,votes,evm_votes,postal_votes,district_name,sub_region,enop,previous_winner,previous_winner_alliance
1,MANJESHWAR,GEN,A K M ASHRAF,Indian Union Muslim League,UDF,male,48,1,51.62272831,15.5760619,29252,187801,96948,96470,478,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,K SURENDRAN,Bharatiya Janata Party,NDA,male,56,2,36.04666642,24.75173189,46484,187801,67696,67065,631,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,K R JAYANANDA,Communist Party of India (Marxist),LDF,male,58,3,11.29493453,11.01644826,20689,187801,21212,21022,190,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,GEAN LAVINA MONTEIRO,Independent,Others,female,56,4,0.27848627,0.03620854,68,187801,523,518,5,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,NOTA,None of the Above,Others,,,5,0.24227773,0.09052135,170,187801,455,449,6,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,KANNUR ABDULLA MASTER,Independent,Others,male,66,6,0.15175638,0.038870933,73,187801,285,282,3,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,SANJEEVA,Bahujan Samaj Party,Others,male,55,7,0.112885448,0.004792307,9,187801,212,212,0,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,D SURENDRAN NAIR,Independent,Others,male,63,8,0.108093141,0.066027337,124,187801,203,201,2,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,ABDUL LATHEEF I,Independent,Others,male,38,9,0.042065804,0.000532479,1,187801,79,77,2,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,"MOHAMMAD ASHRAF, PAPPIYAR HOUSE",Independent,Others,male,43,10,0.041533325,0.007454699,14,187801,78,77,1,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,"MOHAMMED ASHRAF K A, C. M. HOUSE",Independent,Others,male,51,11,0.034078626,0.009584614,18,187801,64,59,5,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
1,MANJESHWAR,GEN,JOHN D' SOUZA I,Independent,Others,male,63,12,0.024494012,0,0,187801,46,46,0,KASARAGOD,MALABAR (NORTH KERALA),2.443773207,IUML,UDF
2,KASARAGOD,GEN,KALLATRA MAHIN,Indian Union Muslim League,UDF,male,62,1,45.1504997,13.41465577,22698,169203,76396,75980,416,KASARAGOD,MALABAR (NORTH KERALA),2.843887042,IUML,UDF
2,KASARAGOD,GEN,ASHWINI M L,Bharatiya Janata Party,NDA,female,40,2,31.73584393,10.05892331,17020,169203,53698,53136,562,KASARAGOD,MALABAR (NORTH KERALA),2.843887042,IUML,UDF
2,KASARAGOD,GEN,SHANAVAS PADHOOR,Independent,LDF,male,46,3,21.67692062,21.1491522,35785,169203,36678,36419,259,KASARAGOD,MALABAR (NORTH KERALA),2.843887042,IUML,UDF
2,KASARAGOD,GEN,SHANAVAS A A,Independent,Others,male,44,4,0.52776842,0.040779419,69,169203,893,878,15,KASARAGOD,MALABAR (NORTH KERALA),2.843887042,IUML,UDF
2,KASARAGOD,GEN,MOHAMMED ALI FATHAH B M,Independent,Others,male,47,5,0.486989001,0.065010668,110,169203,824,805,19,KASARAGOD,MALABAR (NORTH KERALA),2.843887042,IUML,UDF
2,KASARAGOD,GEN,NOTA,None of the Above,Others,,,6,0.421978334,0,0,169203,714,702,12,KASARAGOD,MALABAR (NORTH KERALA),2.843887042,IUML,UDF
3,UDMA,GEN,NEELAKANDAN,Indian National Congress,UDF,male,62,1,43.64104946,2.680625608,4847,180816,78910,78084,826,KASARAGOD,MALABAR (NORTH KERALA),2.629015864,CPM,LDF
3,UDMA,GEN,C H KUNHAMBU,Communist Party of India (Marxist),LDF,male,66,2,40.96042386,26.08397487,47164,180816,74063,72860,1203,KASARAGOD,MALABAR (NORTH KERALA),2.629015864,CPM,LDF
3,UDMA,GEN,MANULAL M,Bharatiya Janata Party,NDA,male,39,3,14.87644899,14.59771259,26395,180816,26899,26550,349,KASARAGOD,MALABAR (NORTH KERALA),2.629015864,CPM,LDF
3,UDMA,GEN,NOTA,None of the Above,Others,,,4,0.278736395,0.17310415,313,180816,504,488,16,KASARAGOD,MALABAR (NORTH KERALA),2.629015864,CPM,LDF
3,UDMA,GEN,KUNHAMPU P P S/O RAMAN,Independent,Others,male,79,5,0.105632245,0.029311565,53,180816,191,186,5,KASARAGOD,MALABAR (NORTH KERALA),2.629015864,CPM,LDF
3,UDMA,GEN,KUNHIRAMAN,Independent,Others,male,55,6,0.07632068,0.014932307,27,180816,138,138,0,KASARAGOD,MALABAR (NORTH KERALA),2.629015864,CPM,LDF
3,UDMA,GEN,NASEER,Independent,Others,male,45,7,0.061388373,0,0,180816,111,110,1,KASARAGOD,MALABAR (NORTH KERALA),2.629015864,CPM,LDF
4,KANHANGAD,GEN,ADV. GOVINDAN PALLIKAPPIL,Communist Party of India,LDF,male,60,1,45.46669928,8.713312891,15316,175777,79920,78463,1457,KASARAGOD,MALABAR (NORTH KERALA),2.733276535,CPI,LDF
4,KANHANGAD,GEN,SHAIJI OTTAPALLI,Kerala Congress,UDF,male,53,2,36.75338639,21.35717415,37541,175777,64604,63804,800,KASARAGOD,MALABAR (NORTH KERALA),2.733276535,CPI,LDF
4,KANHANGAD,GEN,M BALRAJ,Bharatiya Janata Party,NDA,male,58,3,15.39621225,13.61440917,23931,175777,27063,26608,455,KASARAGOD,MALABAR (NORTH KERALA),2.733276535,CPI,LDF
4,KANHANGAD,GEN,VIJAYAKUMAR B,Bahujan Samaj Party,Others,male,54,4,1.78180308,1.179904083,2074,175777,3132,3086,46,KASARAGOD,MALABAR (NORTH KERALA),2.733276535,CPI,LDF
4,KANHANGAD,GEN,NOTA,None of the Above,Others,,,5,0.601898997,0,0,175777,1058,1039,19,KASARAGOD,MALABAR (NORTH KERALA),2.733276535,CPI,LDF
5,TRIKARIPUR,GEN,SANDEEP VARIER,Indian National Congress,UDF,male,44,1,48.62905491,2.592683612,4431,170904,83109,81700,1409,KASARAGOD,MALABAR (NORTH KERALA),2.219572305,CPM,LDF
5,TRIKARIPUR,GEN,DR. V P P MUSTAFA,Communist Party of India (Marxist),LDF,male,54,2,46.0363713,41.45075598,70841,170904,78678,76697,1981,KASARAGOD,MALABAR (NORTH KERALA),2.219572305,CPM,LDF
5,TRIKARIPUR,GEN,RAVI KULANGARA,Twenty 20 Party,NDA,male,58,3,4.585615316,4.17017741,7127,170904,7837,7684,153,KASARAGOD,MALABAR (NORTH KERALA),2.219572305,CPM,LDF
5,TRIKARIPUR,GEN,NOTA,None of the Above,Others,,,4,0.415437907,0.264475963,452,170904,710,681,29,KASARAGOD,MALABAR (NORTH KERALA),2.219572305,CPM,LDF
5,TRIKARIPUR,GEN,SANDEEP ELATT,Independent,Others,male,36,5,0.150961944,0.052076019,89,170904,258,250,8,KASARAGOD,MALABAR (NORTH KERALA),2.219572305,CPM,LDF
